Data zamówienia,Data księgowania,ID Zamówienia,Sklep ID,Produkt ID,Liczba jednostek,Cena jednostkowa,Cena zakupu
30.01.2023,31.01.2023,16568,7,50,1.0,2.500,0.5876775
17.01.2023,18.01.2023,9168,4,23,1.0,2.500,0.7038625
23.01.2023,26.01.2023,12575,1,54,1.0,2.500,0.5876775
13.01.2023,14.01.2023,6875,2,28,1.0,2.000,0.56309
05.01.2023,09.01.2023,2719,7,56,1.0,2.550,0.59943105
03.01.2023,06.01.2023,1645,4,39,1.0,4.250,1.19656625
25.01.2023,28.01.2023,13893,6,32,2.0,3.000,0.844635
26.01.2023,28.01.2023,14679,4,75,1.0,3.500,1.54539
09.01.2023,12.01.2023,4496,1,83,1.0,14.000,10.28398
06.01.2023,08.01.2023,3045,1,58,1.0,3.500,1.2409109999999999
12.01.2023,15.01.2023,6416,5,60,1.0,3.750,1.3295474999999999
27.01.2023,31.01.2023,15147,2,59,0.0,4.500,1.595457
22.01.2023,25.01.2023,12214,6,63,2.0,0.800,0.36363680000000004
17.01.2023,18.01.2023,9297,3,60,2.0,3.750,1.3295474999999999
20.01.2023,23.01.2023,10898,4,29,1.0,2.500,0.7038625
27.01.2023,30.01.2023,15040,3,77,1.0,3.000,1.32462
14.01.2023,17.01.2023,7718,2,45,1.0,3.000,0.705213
16.01.2023,19.01.2023,9081,7,45,1.0,3.000,0.705213
10.01.2023,11.01.2023,5394,3,55,1.0,4.000,0.940284
17.01.2023,20.01.2023,9351,1,34,1.0,2.450,0.68978525
24.01.2023,25.01.2023,13422,7,60,1.0,3.750,1.3295474999999999
15.01.2023,17.01.2023,8108,7,83,1.0,14.000,10.28398
02.01.2023,04.01.2023,928,1,58,0.0,3.500,1.2409109999999999
08.01.2023,09.01.2023,4093,6,84,1.0,0.800,0.36363680000000004
21.01.2023,23.01.2023,11515,4,74,1.0,3.500,1.54539
25.01.2023,26.01.2023,13999,5,59,1.0,4.500,1.595457
01.01.2023,04.01.2023,69,6,40,0.0,3.750,1.0557937499999999
10.01.2023,13.01.2023,5004,7,77,1.0,3.000,1.32462
19.01.2023,24.01.2023,10355,5,42,0.0,2.500,0.5876775
09.01.2023,10.01.2023,4918,6,44,1.0,2.500,0.5876775
17.01.2023,19.01.2023,9194,2,30,1.0,3.000,0.844635
16.01.2023,17.01.2023,8813,4,51,2.0,3.000,0.705213
18.01.2023,21.01.2023,10263,6,43,2.0,3.000,0.705213
11.01.2023,14.01.2023,6071,5,63,1.0,0.800,0.36363680000000004
09.01.2023,11.01.2023,4642,6,14,0.0,8.950,2.9756243999999996
19.01.2023,23.01.2023,10522,6,63,1.0,0.800,0.36363680000000004
31.01.2023,03.02.2023,17179,5,27,1.0,3.500,0.9854075
26.01.2023,30.01.2023,14431,7,33,3.0,3.500,0.9854075
27.01.2023,30.01.2023,15136,4,30,0.0,3.000,0.844635
09.01.2023,10.01.2023,null,1,59,1.0,4.500,1.595457
21.01.2023,23.01.2023,12026,7,40,1.0,3.750,1.0557937499999999
20.01.2023,25.01.2023,11445,1,74,1.0,3.500,1.54539
19.01.2023,22.01.2023,10773,3,4,1.0,20.450,11.34048615
11.01.2023,13.01.2023,5621,4,69,1.0,3.250,1.4350049999999999
21.01.2023,23.01.2023,11907,6,81,1.0,28.000,20.56796
04.01.2023,06.01.2023,1994,4,58,1.0,3.500,1.2409109999999999
31.01.2023,01.02.2023,null,7,78,1.0,4.500,1.9869299999999999
07.01.2023,08.01.2023,3647,6,38,1.0,3.750,1.0557937499999999
03.01.2023,04.01.2023,1379,3,54,2.0,2.500,0.5876775
19.01.2023,23.01.2023,10417,7,84,2.0,0.800,0.36363680000000004
31.01.2023,01.02.2023,17310,1,35,0.0,3.100,0.8727895
12.01.2023,15.01.2023,6401,7,71,1.0,3.750,1.655775
17.01.2023,19.01.2023,9373,2,73,1.0,3.750,1.655775
19.01.2023,22.01.2023,10798,1,49,1.0,3.000,0.705213
20.01.2023,21.01.2023,11191,4,49,1.0,3.000,0.705213
24.01.2023,25.01.2023,13656,7,42,1.0,2.500,0.5876775
30.01.2023,01.02.2023,16486,7,30,1.0,3.000,0.844635
08.01.2023,09.01.2023,3870,2,22,1.0,2.000,0.56309
30.01.2023,02.02.2023,16712,6,56,1.0,2.550,0.59943105
18.01.2023,21.01.2023,10030,7,57,2.0,3.100,0.7287201
03.01.2023,06.01.2023,1589,4,28,1.0,2.000,0.56309
30.01.2023,01.02.2023,16463,7,55,2.0,4.000,0.940284
09.01.2023,12.01.2023,4507,4,34,0.0,2.450,0.68978525
27.01.2023,29.01.2023,15194,1,31,2.0,2.200,0.619399
20.01.2023,21.01.2023,11276,6,48,3.0,2.500,0.5876775
07.01.2023,08.01.2023,3543,6,60,1.0,3.750,1.3295474999999999
07.01.2023,09.01.2023,3564,4,79,1.0,3.750,1.655775
15.01.2023,18.01.2023,8513,7,4,1.0,20.450,11.34048615
13.01.2023,15.01.2023,7233,5,38,2.0,3.750,1.0557937499999999
