Data zamówienia,Data księgowania,ID Zamówienia,Sklep ID,Produkt ID,Liczba jednostek,Cena jednostkowa,Cena zakupu
03.03.2023,04.03.2023,35373,4,73,1.0,3.750,1.655775
06.03.2023,07.03.2023,37216,1,48,1.0,2.500,0.5876775
03.03.2023,06.03.2023,35708,3,87,1.0,3.000,0.844635
13.03.2023,16.03.2023,42167,7,71,1.0,3.750,1.655775
13.03.2023,16.03.2023,42309,4,39,1.0,4.250,1.19656625
11.03.2023,12.03.2023,41055,7,1,1.0,18.000,9.981846
31.03.2023,04.04.2023,54735,3,50,2.0,2.500,0.5876775
23.03.2023,25.03.2023,49079,2,57,1.0,3.100,0.7287201
06.03.2023,09.03.2023,37277,4,50,2.0,2.500,0.5876775
29.03.2023,01.04.2023,53734,6,57,1.0,3.100,0.7287201
27.03.2023,28.03.2023,52015,2,42,3.0,2.500,0.5876775
18.03.2023,20.03.2023,45846,4,78,1.0,4.500,1.9869299999999999
12.03.2023,13.03.2023,41300,1,79,1.0,3.750,1.655775
08.03.2023,09.03.2023,38955,6,33,1.0,3.500,0.9854075
27.03.2023,30.03.2023,52393,4,72,1.0,3.250,1.4350049999999999
25.03.2023,26.03.2023,50873,7,40,1.0,3.750,1.0557937499999999
26.03.2023,28.03.2023,51775,7,79,1.0,3.750,1.655775
10.03.2023,12.03.2023,40299,7,39,2.0,4.250,1.19656625
19.03.2023,21.03.2023,null,3,60,0.0,3.750,1.3295474999999999
28.03.2023,31.03.2023,52690,1,28,2.0,2.000,0.56309
28.03.2023,30.03.2023,52948,1,26,1.0,3.000,0.844635
17.03.2023,18.03.2023,45471,7,42,1.0,2.500,0.5876775
20.03.2023,21.03.2023,47493,1,37,0.0,3.000,0.844635
16.03.2023,18.03.2023,44495,7,55,2.0,4.000,0.940284
29.03.2023,03.04.2023,53337,1,39,1.0,4.250,1.19656625
09.03.2023,13.03.2023,39560,7,25,1.0,2.200,0.619399
08.03.2023,12.03.2023,38460,6,57,2.0,3.100,0.7287201
12.03.2023,14.03.2023,41903,7,28,1.0,2.000,0.56309
11.03.2023,13.03.2023,40641,7,37,2.0,3.000,0.844635
21.03.2023,22.03.2023,47739,1,65,1.0,0.800,0.36363680000000004
18.03.2023,19.03.2023,46104,1,78,1.0,4.500,1.9869299999999999
24.03.2023,27.03.2023,50384,5,60,1.0,3.750,1.3295474999999999
20.03.2023,22.03.2023,47396,1,40,1.0,3.750,1.0557937499999999
26.03.2023,28.03.2023,51520,6,39,2.0,4.250,1.19656625
19.03.2023,20.03.2023,46639,2,48,2.0,2.500,0.5876775
17.03.2023,20.03.2023,44955,7,39,2.0,4.250,1.19656625
29.03.2023,31.03.2023,53231,1,45,1.0,3.000,0.705213
09.03.2023,10.03.2023,39536,6,71,1.0,3.750,1.655775
29.03.2023,30.03.2023,53365,2,46,1.0,2.500,0.5876775
20.03.2023,23.03.2023,47430,7,49,2.0,3.000,0.705213
22.03.2023,24.03.2023,48570,7,61,1.0,4.750,1.6840935
