Data zamówienia,Data księgowania,ID Zamówienia,Sklep ID,Produkt ID,Liczba jednostek,Cena jednostkowa,Cena zakupu
20.04.2023,24.04.2023,71822,4,79,0.0,3.750,1.655775
11.04.2023,14.04.2023,64134,3,75,1.0,3.500,1.54539
04.04.2023,07.04.2023,57952,1,36,1.0,3.750,1.0557937499999999
13.04.2023,16.04.2023,65373,4,78,1.0,4.500,1.9869299999999999
11.04.2023,12.04.2023,64091,1,36,2.0,3.750,1.0557937499999999
25.04.2023,27.04.2023,76135,2,64,2.0,0.800,0.36363680000000004
19.04.2023,22.04.2023,70854,7,48,2.0,2.500,0.5876775
22.04.2023,23.04.2023,73657,1,59,2.0,4.500,1.595457
26.04.2023,29.04.2023,77207,4,53,1.0,3.000,0.705213
12.04.2023,15.04.2023,64639,4,52,1.0,2.500,0.5876775
26.04.2023,01.05.2023,76855,1,52,1.0,2.500,0.5876775
12.04.2023,17.04.2023,64252,4,73,1.0,3.750,1.655775
05.04.2023,10.04.2023,58783,6,24,1.0,3.000,0.844635
17.04.2023,19.04.2023,69373,5,50,1.0,2.500,0.5876775
24.04.2023,26.04.2023,74914,2,23,0.0,2.500,0.7038625
08.04.2023,10.04.2023,61053,7,77,1.0,3.000,1.32462
08.04.2023,10.04.2023,60699,7,49,2.0,3.000,0.705213
26.04.2023,27.04.2023,76332,7,42,3.0,2.500,0.5876775
28.04.2023,02.05.2023,78794,6,37,2.0,3.000,0.844635
25.04.2023,28.04.2023,75648,5,58,3.0,3.500,1.2409109999999999
25.04.2023,26.04.2023,76051,5,87,3.0,3.000,0.844635
03.04.2023,06.04.2023,56848,2,31,2.0,2.200,0.619399
15.04.2023,18.04.2023,67366,7,76,1.0,3.500,1.54539
23.04.2023,26.04.2023,74037,3,79,1.0,3.750,1.655775
20.04.2023,23.04.2023,null,7,63,1.0,0.800,0.36363680000000004
20.04.2023,24.04.2023,71506,6,60,1.0,3.750,1.3295474999999999
04.04.2023,05.04.2023,58204,1,70,1.0,3.250,1.4350049999999999
14.04.2023,15.04.2023,66296,7,38,1.0,3.750,1.0557937499999999
17.04.2023,19.04.2023,68889,5,74,1.0,3.500,1.54539
07.04.2023,10.04.2023,60617,1,54,2.0,2.500,0.5876775
29.04.2023,01.05.2023,79111,1,50,2.0,2.500,0.5876775
17.04.2023,20.04.2023,69072,1,23,2.0,2.500,0.7038625
30.04.2023,02.05.2023,80025,6,46,2.0,2.500,0.5876775
10.04.2023,13.04.2023,63277,5,54,2.0,2.500,0.5876775
18.04.2023,19.04.2023,69797,1,42,1.0,2.500,0.5876775
24.04.2023,25.04.2023,75441,7,45,0.0,3.000,0.705213
23.04.2023,25.04.2023,73951,7,24,1.0,3.000,0.844635
11.04.2023,13.04.2023,63758,5,37,1.0,3.000,0.844635
17.04.2023,20.04.2023,69219,6,48,0.0,2.500,0.5876775
15.04.2023,18.04.2023,67138,1,24,1.0,3.000,0.844635
10.04.2023,13.04.2023,63237,6,44,1.0,2.500,0.5876775
28.04.2023,29.04.2023,78945,6,29,1.0,2.500,0.7038625
16.04.2023,17.04.2023,68230,2,37,1.0,3.000,0.844635
26.04.2023,29.04.2023,77149,4,77,0.0,3.000,1.32462
04.04.2023,05.04.2023,57869,1,34,1.0,2.450,0.68978525
13.04.2023,16.04.2023,65496,6,1,1.0,18.000,9.981846
01.04.2023,02.04.2023,55209,4,42,2.0,2.500,0.5876775
22.04.2023,25.04.2023,73139,1,61,1.0,4.750,1.6840935
13.04.2023,16.04.2023,65484,6,24,2.0,3.000,0.844635
26.04.2023,29.04.2023,76984,6,38,3.0,3.750,1.0557937499999999
08.04.2023,11.04.2023,61045,7,45,2.0,3.000,0.705213
19.04.2023,20.04.2023,70416,5,55,1.0,4.000,0.940284
18.04.2023,19.04.2023,69587,7,64,1.0,0.800,0.36363680000000004
05.04.2023,07.04.2023,58638,4,75,0.0,3.500,1.54539
11.04.2023,12.04.2023,63551,4,78,1.0,4.500,1.9869299999999999
18.04.2023,19.04.2023,70067,7,35,2.0,3.100,0.8727895
01.04.2023,03.04.2023,55355,1,22,2.0,2.000,0.56309
04.04.2023,06.04.2023,57702,2,58,2.0,3.500,1.2409109999999999
19.04.2023,20.04.2023,70348,5,29,2.0,2.500,0.7038625
29.04.2023,03.05.2023,79099,1,23,2.0,2.500,0.7038625
25.04.2023,26.04.2023,76083,2,64,0.0,0.800,0.36363680000000004
30.04.2023,03.05.2023,79996,1,45,1.0,3.000,0.705213
19.04.2023,24.04.2023,70693,6,53,1.0,3.000,0.705213
05.04.2023,06.04.2023,58529,3,51,1.0,3.000,0.705213
19.04.2023,21.04.2023,71214,7,23,1.0,2.500,0.7038625
04.04.2023,05.04.2023,57647,1,30,1.0,3.000,0.844635
03.04.2023,06.04.2023,56701,4,37,1.0,3.000,0.844635
02.04.2023,05.04.2023,null,1,73,1.0,3.750,1.655775
