Data zamówienia,Data księgowania,ID Zamówienia,Sklep ID,Produkt ID,Liczba jednostek,Cena jednostkowa,Cena zakupu
02.02.2023,05.02.2023,18103,6,52,1.0,2.500,0.5876775
10.02.2023,12.02.2023,22416,5,32,1.0,3.000,0.844635
11.02.2023,15.02.2023,23491,5,42,0.0,2.500,0.5876775
11.02.2023,15.02.2023,23348,7,49,1.0,3.000,0.705213
13.02.2023,14.02.2023,24736,4,45,1.0,3.000,0.705213
23.02.2023,27.02.2023,30305,1,29,1.0,2.500,0.7038625
15.02.2023,16.02.2023,25920,7,39,1.0,4.250,1.19656625
14.02.2023,15.02.2023,25338,4,41,1.0,4.250,1.19656625
13.02.2023,16.02.2023,24746,1,56,1.0,2.550,0.59943105
14.02.2023,16.02.2023,24912,7,28,1.0,2.000,0.56309
26.02.2023,01.03.2023,32025,1,28,1.0,2.000,0.56309
10.02.2023,12.02.2023,22448,1,56,2.0,2.550,0.59943105
24.02.2023,27.02.2023,31183,4,34,1.0,2.450,0.68978525
13.02.2023,15.02.2023,24506,6,76,1.0,3.500,1.54539
22.02.2023,24.02.2023,29940,6,36,1.0,3.750,1.0557937499999999
10.02.2023,11.02.2023,22470,5,72,1.0,3.250,1.4350049999999999
04.02.2023,07.02.2023,19087,1,69,1.0,3.250,1.4350049999999999
09.02.2023,10.02.2023,22069,1,38,1.0,3.750,1.0557937499999999
23.02.2023,28.02.2023,30706,4,50,2.0,2.500,0.5876775
28.02.2023,02.03.2023,33260,6,61,0.0,4.750,1.6840935
24.02.2023,25.02.2023,31270,4,28,0.0,2.000,0.56309
10.02.2023,13.02.2023,22747,2,71,1.0,3.750,1.655775
26.02.2023,01.03.2023,32548,5,73,1.0,3.750,1.655775
01.02.2023,04.02.2023,17347,6,44,1.0,2.500,0.5876775
18.02.2023,21.02.2023,27212,2,37,0.0,3.000,0.844635
08.02.2023,11.02.2023,21716,4,2,1.0,18.000,9.981846
28.02.2023,03.03.2023,33331,5,53,2.0,3.000,0.705213
